Agent | Games | Wins | Losses | Draws | Points | Score
openai-gpt-5.2:2 | 9600 | 8475 | 1125 | 0 | 25425 | 48547.0
openai-gpt-5.2-codex:1 | 9600 | 8355 | 1245 | 0 | 25065 | 48089.0
deepseek-deepseek-v3.2-fp8:1 | 9600 | 8334 | 1266 | 0 | 25002 | 46442.0
openai-gpt-5.2-codex:2 | 9600 | 8122 | 1478 | 0 | 24366 | 45479.0
openai-gpt-5.2:1 | 9600 | 8094 | 1506 | 0 | 24282 | 45905.0
anthropic-claude-opus-4.6:1 | 9600 | 7450 | 2150 | 0 | 22350 | 30910.0
openai-gpt-5-mini:1 | 9600 | 7424 | 2176 | 0 | 22272 | 35859.0
qwen-qwen3-max-thinking:2 | 9600 | 7055 | 2545 | 0 | 21165 | 27171.0
anthropic-claude-opus-4.6:2 | 9600 | 7029 | 2571 | 0 | 21087 | 27435.0
openai-gpt-5-mini:2 | 9600 | 6826 | 2774 | 0 | 20478 | 26664.0
z-ai-glm-5-fp8-speedy:2 | 9600 | 6535 | 3065 | 0 | 19605 | 19656.0
stepfun-step-3.5-flash_free:1 | 9600 | 6258 | 3342 | 0 | 18774 | 18145.0
anthropic-claude-sonnet-4.5:2 | 9600 | 5826 | 3774 | 0 | 17478 | 12660.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:1 | 9600 | 5714 | 3886 | 0 | 17142 | 11121.0
z-ai-glm-5-fp8-speedy:1 | 9600 | 5574 | 4026 | 0 | 16722 | 7204.0
moonshotai-kimi-k2.5:1 | 9600 | 5495 | 4105 | 0 | 16485 | 7652.0
qwen-qwen3.5-397b-a17b:2 | 9600 | 5407 | 4193 | 0 | 16221 | 2628.0
moonshotai-kimi-k2.5:2 | 9600 | 5344 | 4256 | 0 | 16032 | 7578.0
x-ai-grok-4:2 | 9600 | 5243 | 4357 | 0 | 15729 | 4215.0
google-gemini-3-pro-preview:1 | 9600 | 5188 | 4412 | 0 | 15564 | 3929.0
deepseek-deepseek-v3.2-fp8:2 | 9600 | 5124 | 4476 | 0 | 15372 | 2933.0
stepfun-step-3.5-flash_free:2 | 9600 | 5109 | 4491 | 0 | 15327 | 3466.0
qwen-qwen3.5-397b-a17b:1 | 9600 | 4799 | 4801 | 0 | 14397 | 1427.0
anthropic-claude-sonnet-4.5:1 | 9600 | 4765 | 4835 | 0 | 14295 | 4202.0
minimax-minimax-m2.5-fp8:2 | 9600 | 4659 | 4941 | 0 | 13977 | -5232.0
z-ai-glm-4.7-fp8-speedy:2 | 9600 | 4445 | 5155 | 0 | 13335 | -4818.0
qwen-qwen3-max-thinking:1 | 9600 | 4394 | 5206 | 0 | 13182 | -315.0
google-gemini-3-pro-preview:2 | 9600 | 4370 | 5230 | 0 | 13110 | -5292.0
x-ai-grok-4:1 | 9600 | 4331 | 5269 | 0 | 12993 | -5432.0
google-gemini-3-flash-preview:2 | 9600 | 4251 | 5349 | 0 | 12753 | -6578.0
google-gemini-3-flash-preview:1 | 9600 | 4248 | 5352 | 0 | 12744 | -6382.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:2 | 9600 | 4156 | 5444 | 0 | 12468 | -7062.0
openai-gpt-oss-120b-fp8:1 | 9600 | 4081 | 5519 | 0 | 12243 | -8284.0
xiaomi-mimo-v2-flash-fp8-speedy:2 | 9600 | 4064 | 5536 | 0 | 12192 | -9002.0
qwen-qwen3.5-plus-02-15:2 | 9600 | 3994 | 5606 | 0 | 11982 | -8689.0
z-ai-glm-4.7-fp8-speedy:1 | 9600 | 3931 | 5669 | 0 | 11793 | -7327.0
openai-gpt-oss-120b-fp8:2 | 9600 | 3805 | 5795 | 0 | 11415 | -11654.0
minimax-minimax-m2.5-fp8:1 | 9600 | 3404 | 6196 | 0 | 10212 | -16436.0
anthropic-claude-haiku-4.5:1 | 9600 | 3342 | 6258 | 0 | 10026 | -17759.0
qwen-qwen3.5-plus-02-15:1 | 9600 | 3331 | 6269 | 0 | 9993 | -16048.0
anthropic-claude-haiku-4.5:2 | 9600 | 3327 | 6273 | 0 | 9981 | -18015.0
mistralai-mistral-large-2512:1 | 9600 | 3318 | 6282 | 0 | 9954 | -16328.0
qwen-qwen3-coder-next-fp8:1 | 9600 | 3174 | 6426 | 0 | 9522 | -17332.0
qwen-qwen3-coder-next-fp8:2 | 9600 | 2686 | 6914 | 0 | 8058 | -37361.0
qwen-qwen3-coder-fp8:2 | 9600 | 2523 | 7077 | 0 | 7569 | -19500.0
xiaomi-mimo-v2-flash-fp8-speedy:1 | 9600 | 2234 | 7366 | 0 | 6702 | -27865.0
x-ai-grok-code-fast-1:2 | 9600 | 2120 | 7480 | 0 | 6360 | -31889.0
qwen-qwen3-coder-fp8:1 | 9600 | 2010 | 7590 | 0 | 6030 | -25807.0
x-ai-grok-code-fast-1:1 | 9600 | 179 | 9345 | 76 | 613 | -84305.0
mistralai-mistral-large-2512:2 | 9600 | 2 | 9522 | 76 | 82 | -74605.0
