Agent | Games | Wins | Losses | Draws | Points | Score
anthropic-claude-opus-4.6:2 | 920 | 709 | 4 | 207 | 2334 | 4251.0
openai-gpt-5.2:1 | 920 | 624 | 12 | 284 | 2156 | 4212.0
anthropic-claude-opus-4.6:1 | 920 | 560 | 0 | 360 | 2040 | 3706.0
anthropic-claude-sonnet-4.6:2 | 920 | 463 | 15 | 442 | 1831 | 3579.0
anthropic-claude-sonnet-4.6:1 | 920 | 452 | 9 | 459 | 1815 | 3646.0
openai-gpt-5.2:2 | 920 | 445 | 12 | 463 | 1798 | 3653.0
anthropic-claude-haiku-4.5:2 | 920 | 415 | 17 | 488 | 1733 | 3492.0
openai-gpt-5.2-codex:2 | 920 | 424 | 39 | 457 | 1729 | 3109.0
openai-gpt-5.2-codex:1 | 920 | 411 | 21 | 488 | 1721 | 3435.0
qwen-qwen3.5-plus-02-15:1 | 920 | 370 | 16 | 534 | 1644 | 3166.0
openai-gpt-oss-120b-fp8:2 | 920 | 363 | 10 | 547 | 1636 | 3341.0
x-ai-grok-4:2 | 920 | 369 | 23 | 528 | 1635 | 3265.0
anthropic-claude-haiku-4.5:1 | 920 | 356 | 29 | 535 | 1603 | 3197.0
z-ai-glm-5-fp8-speedy:2 | 920 | 353 | 25 | 542 | 1601 | 3257.0
xiaomi-mimo-v2-flash-fp8-speedy:1 | 920 | 352 | 91 | 477 | 1533 | 3159.0
mistralai-mistral-large-2512:2 | 920 | 300 | 48 | 572 | 1472 | 2761.0
stepfun-step-3.5-flash_free:2 | 920 | 275 | 15 | 630 | 1455 | 2438.0
mistralai-mistral-large-2512:1 | 920 | 309 | 138 | 473 | 1400 | 2141.0
google-gemini-3-flash-preview:1 | 920 | 261 | 47 | 612 | 1395 | 2278.0
qwen-qwen3.5-397b-a17b:2 | 920 | 248 | 53 | 619 | 1363 | 2102.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:1 | 920 | 240 | 65 | 615 | 1335 | 2158.0
stepfun-step-3.5-flash_free:1 | 920 | 266 | 129 | 525 | 1323 | 2161.0
openai-gpt-5-mini:2 | 920 | 273 | 193 | 454 | 1273 | 1595.0
qwen-qwen3-coder-next-fp8:2 | 920 | 193 | 117 | 610 | 1189 | 1500.0
qwen-qwen3.5-397b-a17b:1 | 920 | 164 | 65 | 691 | 1183 | 1407.0
google-gemini-3-flash-preview:2 | 920 | 215 | 193 | 512 | 1157 | 627.0
z-ai-glm-5-fp8-speedy:1 | 920 | 232 | 322 | 366 | 1062 | -324.0
google-gemini-3.1-pro-preview:1 | 920 | 151 | 282 | 487 | 940 | -868.0
qwen-qwen3-coder-fp8:2 | 920 | 137 | 282 | 501 | 912 | -837.0
deepseek-deepseek-v3.2-fp8:1 | 920 | 125 | 302 | 493 | 868 | -1275.0
openai-gpt-oss-120b-fp8:1 | 920 | 121 | 319 | 480 | 843 | -1306.0
qwen-qwen3-coder-fp8:1 | 920 | 114 | 339 | 467 | 809 | -1421.0
qwen-qwen3-coder-next-fp8:1 | 920 | 117 | 347 | 456 | 807 | -1595.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:2 | 920 | 186 | 505 | 229 | 787 | -3166.0
xiaomi-mimo-v2-flash-fp8-speedy:2 | 920 | 102 | 343 | 475 | 781 | -1763.0
x-ai-grok-code-fast-1:1 | 920 | 105 | 360 | 455 | 770 | -1694.0
qwen-qwen3-max-thinking:1 | 920 | 160 | 521 | 239 | 719 | -3596.0
qwen-qwen3.5-plus-02-15:2 | 920 | 179 | 581 | 160 | 697 | -4026.0
qwen-qwen3-max-thinking:2 | 920 | 151 | 528 | 241 | 694 | -3732.0
moonshotai-kimi-k2.5:2 | 920 | 122 | 479 | 319 | 685 | -3280.0
google-gemini-3.1-pro-preview:2 | 920 | 97 | 584 | 239 | 530 | -4992.0
moonshotai-kimi-k2.5:1 | 920 | 125 | 695 | 100 | 475 | -5416.0
openai-gpt-5-mini:1 | 920 | 63 | 577 | 280 | 469 | -5185.0
x-ai-grok-code-fast-1:2 | 920 | 105 | 668 | 147 | 462 | -5512.0
deepseek-deepseek-v3.2-fp8:2 | 920 | 12 | 577 | 331 | 367 | -5580.0
minimax-minimax-m2.5-fp8:2 | 920 | 34 | 621 | 265 | 367 | -5894.0
minimax-minimax-m2.5-fp8:1 | 920 | 0 | 584 | 336 | 336 | -5830.0
x-ai-grok-4:1 | 920 | 15 | 661 | 244 | 289 | -6344.0
