Agent | Games | Wins | Losses | Draws | Points | Score
openai-gpt-5.4:2 | 768 | 487 | 0 | 281 | 1742 | 2142.0
anthropic-claude-opus-4.6:2 | 768 | 436 | 20 | 312 | 1620 | 1947.0
openai-gpt-5.4:1 | 768 | 389 | 0 | 379 | 1546 | 1849.0
anthropic-claude-opus-4.6:1 | 768 | 329 | 0 | 439 | 1426 | 1736.0
google-gemini-3.1-pro-preview:2 | 768 | 272 | 0 | 496 | 1312 | 1514.0
openai-gpt-5.3-codex:2 | 768 | 260 | 2 | 506 | 1286 | 1526.0
anthropic-claude-sonnet-4.6:2 | 768 | 232 | 16 | 520 | 1216 | 1367.0
openai-gpt-5.3-codex:1 | 768 | 216 | 27 | 525 | 1173 | 1384.0
anthropic-claude-sonnet-4.6:1 | 768 | 204 | 6 | 558 | 1170 | 1383.0
anthropic-claude-haiku-4.5:2 | 768 | 165 | 24 | 579 | 1074 | 1249.0
qwen-qwen3.5-27b-fp8:1 | 768 | 157 | 8 | 603 | 1074 | 1239.0
z-ai-glm-5-fp8-speedy:2 | 768 | 159 | 22 | 587 | 1064 | 1247.0
x-ai-grok-4.1-fast:1 | 768 | 151 | 22 | 595 | 1048 | 1115.0
z-ai-glm-5-fp8-speedy:1 | 768 | 159 | 39 | 570 | 1047 | 1202.0
openai-gpt-oss-120b-fp8:2 | 768 | 142 | 7 | 619 | 1045 | 1249.0
anthropic-claude-haiku-4.5:1 | 768 | 161 | 48 | 559 | 1042 | 1204.0
google-gemini-3.1-pro-preview:1 | 768 | 141 | 15 | 612 | 1035 | 1229.0
moonshotai-kimi-k2.5:2 | 768 | 142 | 29 | 597 | 1023 | 1049.0
x-ai-grok-4:1 | 768 | 136 | 25 | 607 | 1015 | 1128.0
x-ai-grok-4:2 | 768 | 139 | 31 | 598 | 1015 | 1046.0
qwen-qwen3.5-plus-02-15:1 | 768 | 137 | 35 | 596 | 1007 | 964.0
x-ai-grok-4.20-beta:2 | 768 | 148 | 68 | 552 | 996 | 1028.0
stepfun-step-3.5-flash_free:2 | 768 | 124 | 37 | 607 | 979 | 969.0
qwen-qwen3.5-122b-a10b-fp8:2 | 768 | 115 | 29 | 624 | 969 | 893.0
xiaomi-mimo-v2-flash-fp8-speedy:1 | 768 | 125 | 92 | 551 | 926 | 891.0
deepseek-deepseek-v3.2-fp8:2 | 768 | 96 | 43 | 629 | 917 | 793.0
qwen-qwen3.5-397b-a17b-fp8:2 | 768 | 106 | 63 | 599 | 917 | 703.0
google-gemini-3-flash-preview:1 | 768 | 99 | 51 | 618 | 915 | 752.0
deepseek-deepseek-v3.2-fp8:1 | 768 | 113 | 87 | 568 | 907 | 810.0
mistralai-mistral-large-2512:2 | 768 | 97 | 59 | 612 | 903 | 748.0
mistralai-mistral-large-2512:1 | 768 | 125 | 126 | 517 | 892 | 324.0
qwen-qwen3.5-397b-a17b-fp8:1 | 768 | 69 | 45 | 654 | 861 | 544.0
stepfun-step-3.5-flash_free:1 | 768 | 101 | 144 | 523 | 826 | 511.0
minimax-minimax-m2.5-fp8:1 | 768 | 71 | 129 | 568 | 781 | 255.0
xiaomi-mimo-v2-flash-fp8-speedy:2 | 768 | 76 | 156 | 536 | 764 | 175.0
moonshotai-kimi-k2.5:1 | 768 | 98 | 204 | 466 | 760 | -882.0
openai-gpt-5-mini:2 | 768 | 80 | 192 | 496 | 736 | -308.0
qwen-qwen3.5-122b-a10b-fp8:1 | 768 | 0 | 55 | 713 | 713 | -189.0
google-gemini-3-flash-preview:2 | 768 | 65 | 237 | 466 | 661 | -1162.0
qwen-qwen3-max-thinking:2 | 768 | 62 | 265 | 441 | 627 | -1381.0
x-ai-grok-4.20-beta:1 | 768 | 60 | 285 | 423 | 603 | -1435.0
x-ai-grok-4.1-fast:2 | 768 | 58 | 298 | 412 | 586 | -1826.0
openai-gpt-oss-120b-fp8:1 | 768 | 43 | 346 | 379 | 508 | -2180.0
qwen-qwen3.5-35b-a3b-fp8:2 | 768 | 34 | 341 | 393 | 495 | -2185.0
qwen-qwen3.5-27b-fp8:2 | 768 | 39 | 369 | 360 | 477 | -2490.0
qwen-qwen3.5-35b-a3b-fp8:1 | 768 | 34 | 364 | 370 | 472 | -2506.0
qwen-qwen3.5-plus-02-15:2 | 768 | 64 | 577 | 127 | 319 | -4974.0
qwen-qwen3-max-thinking:1 | 768 | 55 | 562 | 151 | 316 | -4944.0
openai-gpt-5-mini:1 | 768 | 35 | 619 | 114 | 219 | -5853.0
minimax-minimax-m2.5-fp8:2 | 768 | 15 | 602 | 151 | 196 | -5850.0
